id,directory_id,name,type,required,relation_id,created_at,updated_at,metadata
0562f8ef-2615-4c53-80c7-8b8673d91772,08405b29-ba58-4511-91a6-a675108ce024,Foydalanuvchi ID,text,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 1, ""isRequired"": true, ""isVisibleOnTable"": true}"
7c2c45d9-00ff-4f60-847a-0d724d02e338,08405b29-ba58-4511-91a6-a675108ce024,Ism,text,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 2, ""isRequired"": true, ""isVisibleOnTable"": true}"
0a2bedd7-5448-4144-990b-aa49cf0f516f,08405b29-ba58-4511-91a6-a675108ce024,Familiya,text,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 3, ""isRequired"": true, ""isVisibleOnTable"": true}"
afb23fac-c72f-4225-92f0-e41257af4a43,08405b29-ba58-4511-91a6-a675108ce024,Email,text,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 4, ""isRequired"": true, ""isVisibleOnTable"": true}"
b306d5e2-fb08-4b4d-ac40-a7ac9bb22b36,08405b29-ba58-4511-91a6-a675108ce024,Telefon,text,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 5, ""isRequired"": false, ""isVisibleOnTable"": true}"
c1d006cc-df45-47f3-9064-368602042d8d,08405b29-ba58-4511-91a6-a675108ce024,Rol,text,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 6, ""isRequired"": true, ""isVisibleOnTable"": true}"
4a292a62-41f3-4bf0-b2fe-bcaa474e7111,08405b29-ba58-4511-91a6-a675108ce024,Faol,bool,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 7, ""isRequired"": true, ""isVisibleOnTable"": true}"
354a29df-15ac-4f09-9d1a-8fbe3b4c8871,08405b29-ba58-4511-91a6-a675108ce024,Yaratilgan sana,datetime,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 8, ""isRequired"": false, ""isVisibleOnTable"": false}"
58b30fe0-e02c-4e5b-8577-8406f5358050,33053e1e-7038-4acf-bbd3-7c82194e5efe,Sozlama nomi,text,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 1, ""isRequired"": true, ""isVisibleOnTable"": true}"
7b0c4877-6d90-4169-8ffe-00106648ba5f,33053e1e-7038-4acf-bbd3-7c82194e5efe,Qiymat,text,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 2, ""isRequired"": true, ""isVisibleOnTable"": true}"
dff27507-58a1-4495-9ba7-a7466553f72b,33053e1e-7038-4acf-bbd3-7c82194e5efe,Tavsif,text,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 3, ""isRequired"": false, ""isVisibleOnTable"": true}"
55a0084f-a1a1-4b33-afcc-22673c4cad92,33053e1e-7038-4acf-bbd3-7c82194e5efe,Kategoriya,text,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 4, ""isRequired"": true, ""isVisibleOnTable"": true}"
0ec4e348-9485-4b4a-9146-30977f5c81b8,33053e1e-7038-4acf-bbd3-7c82194e5efe,Faol,bool,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 5, ""isRequired"": true, ""isVisibleOnTable"": true}"
ee973207-464c-4a24-932e-f6231a7d2751,2921ba36-7a96-410d-a01d-a9116619f714,Log ID,text,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 1, ""isRequired"": true, ""isVisibleOnTable"": true}"
e8b53cf6-9b1c-4660-bdfa-ed21ba2ee7e3,2921ba36-7a96-410d-a01d-a9116619f714,Foydalanuvchi,text,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 2, ""isRequired"": false, ""isVisibleOnTable"": true}"
6a76af8f-d843-48ca-aba8-199ddd578866,2921ba36-7a96-410d-a01d-a9116619f714,Amal,text,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 3, ""isRequired"": true, ""isVisibleOnTable"": true}"
f0497593-afc4-4c8a-ab48-b15a7fd9c506,2921ba36-7a96-410d-a01d-a9116619f714,Ma'lumot,json,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 4, ""isRequired"": false, ""isVisibleOnTable"": false}"
5a3b8fca-7045-4502-844b-b7be00c33ec5,2921ba36-7a96-410d-a01d-a9116619f714,IP manzil,text,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 5, ""isRequired"": false, ""isVisibleOnTable"": true}"
9cf5d5ee-6e5c-419e-8da6-661cfe54b783,2921ba36-7a96-410d-a01d-a9116619f714,Sana,datetime,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 6, ""isRequired"": true, ""isVisibleOnTable"": true}"
ac855a98-68b2-4c02-b20a-783663dad349,375f6ada-5f4c-4667-b565-a621f362fd9d,Xodim ID,text,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 1, ""isRequired"": true, ""isVisibleOnTable"": true}"
5d0384b0-54c9-4d09-b486-a99b19d7c09e,375f6ada-5f4c-4667-b565-a621f362fd9d,Ism,text,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 2, ""isRequired"": true, ""isVisibleOnTable"": true}"
5f31f9a7-5d65-4ef4-90d6-1ac3c462b0d0,375f6ada-5f4c-4667-b565-a621f362fd9d,Familiya,text,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 3, ""isRequired"": true, ""isVisibleOnTable"": true}"
7b8f54a2-79af-4120-8045-bb36b15ffcc9,375f6ada-5f4c-4667-b565-a621f362fd9d,Otasining ismi,text,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 4, ""isRequired"": false, ""isVisibleOnTable"": true}"
82e29dae-b7d2-48e4-bbe9-70055c571e8e,375f6ada-5f4c-4667-b565-a621f362fd9d,Tug'ilgan sana,date,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 5, ""isRequired"": false, ""isVisibleOnTable"": true}"
be297279-6b4e-422d-a150-edfc8b1e96a1,375f6ada-5f4c-4667-b565-a621f362fd9d,Telefon,text,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 6, ""isRequired"": true, ""isVisibleOnTable"": true}"
56006d83-1667-44aa-8e9c-be43134de381,375f6ada-5f4c-4667-b565-a621f362fd9d,Email,text,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 7, ""isRequired"": false, ""isVisibleOnTable"": true}"
717bd865-6d55-47c1-84fa-5f817cf4c1bf,375f6ada-5f4c-4667-b565-a621f362fd9d,Manzil,text,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 8, ""isRequired"": false, ""isVisibleOnTable"": false}"
d1e7fe54-fa36-47bd-8a56-bf5bcf4446d7,375f6ada-5f4c-4667-b565-a621f362fd9d,Lavozim,text,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 9, ""isRequired"": true, ""isVisibleOnTable"": true}"
0e2e31e7-45ec-47c3-ad13-189af5d990dd,375f6ada-5f4c-4667-b565-a621f362fd9d,Bo'lim,text,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 10, ""isRequired"": false, ""isVisibleOnTable"": true}"
89e0f2f3-4e17-40d5-adad-445cba583042,375f6ada-5f4c-4667-b565-a621f362fd9d,Ishga qabul qilingan sana,date,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 11, ""isRequired"": false, ""isVisibleOnTable"": true}"
d426f279-0e40-427e-ba09-2e10f1cbbed3,375f6ada-5f4c-4667-b565-a621f362fd9d,Maosh,decimal,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 12, ""isRequired"": false, ""isVisibleOnTable"": false}"
d735de15-9d02-419f-9560-80750baa0728,375f6ada-5f4c-4667-b565-a621f362fd9d,Faol,bool,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 13, ""isRequired"": true, ""isVisibleOnTable"": true}"
d9017eb7-b91a-455c-ad93-b0deab4b35a0,d3115093-e125-48d4-a616-b3817d4c6b47,Mijoz ID,text,f,,2025-08-07 15:43:38.659+05,2025-08-07 15:43:38.659+05,"{""fieldOrder"": 1, ""isRequired"": true, ""isVisibleOnTable"": true}"
